date,hashtags,name,time,tweet,urls,username
2020-04-07,['#dkpol'],Torsten Gejl,17:03:03,"Glad for at melde ud at vi sender støtte til de frivillige sociale organisationer, selvom det er på en dyster baggrund.  Det kommer hjemløse, psykiatribrugere, mennesker med handicap og mange andre udsatte danskere til gode her i Coronakrisen. #dkpol @alternativet_",[],torstengejl
2020-02-04,['#dkpol'],Ida Auken,08:46:59,Jeg er vild med det nye kapløb mellem @DanskErhverv og @DanskIndustri om at være mest progressiv. #dkpol pic.twitter.com/I8UJdTSq4n,[],idaauken
2020-04-07,[],Jakob Ellemann-Jensen,22:44:37,Du drømmer da vist om at være tyndhåret... 😉,[],jakobellemann
2020-06-04,[],Morten Østergaard,06:53:30,"Tjo, men ikke med myndighedernes velsignelse: “Selvom forbuddet ikke gælder i private boliger og haver i tilknytning hertil, opfordres der dog til at aflyse planlagte private sammenkomster mv. med flere end 10 personer “",[],oestergaard
2020-01-05,[],Morten Østergaard,20:25:35,Du fulgte vist ikke debatten så tæt. https://twitter.com/mette_annelie/status/1213801347373568001?s=21 …,['https://twitter.com/mette_annelie/status/1213801347373568001?s=21'],oestergaard
2020-02-07,[],Stinus Lindgreen,21:59:14,"Naturligvis! Jeg nåede desværre ikke at fange dig efter ceremonien, men det var en god markering af vigtig forskning. Endnu engang tillykke til dig og dine kolleger.",[],stinuslindgreen
2020-03-10,"['#dkpol', '#dkmedier']",Simon Emil Ammitzbøll-Bille,10:19:15,"Flere politikere vil have mediechefers løn frem i lyset, fordi aviserne er offentligt støttede. Gælder åbenheden så også ledende medarbejdere i partier? @Spolitik får fx mere i partistøtte i 2020 end @EkstraBladet og @weekendavisen får i mediestøtte... tilsammen! #dkpol #dkmedier",[],ammitzbollbille
2020-04-23,[],Stinus Lindgreen,22:54:27,"Jeg har fået bekræftet, at de omtalte 10% ikke stammer fra ministeriet. I stedet kan jeg forstå, at der er meldt en ramme ud for det maksimale antal hoveder, der kan være i lab på samme tid over alle landets universiteter. Med rullende hold kan det samlede antal derfor sættes op.",[],stinuslindgreen
2020-03-07,[],Pia Olsen Dyhr,10:53:41,Tak 🙏,[],piaolsen
2020-03-12,[],Stinus Lindgreen,11:37:03,Man kan læse min ordførertale her:  https://www.facebook.com/519677024898789/posts/1354780554721761/ …,['https://www.facebook.com/519677024898789/posts/1354780554721761/'],stinuslindgreen
2020-04-18,[],Jakob Ellemann-Jensen,14:15:51,"Hvis jeg som politiker hiver fat i Pressenævnet, hver gang der overdrives i overskrifter eller clickbait, så vil man nok (med nogen ret) mene, at jeg er lidt ømskindet. Men at jeg forlod mødet er lodret forkert. Pressenævn eller ej.",[],jakobellemann
2020-05-27,[],Stinus Lindgreen,13:02:58,"Fordi det er, hvad vi ved. Tidligt i forløbet er der relativt lidt virus i kroppen, så risikoen for en falsk negativ podning er høj.",[],stinuslindgreen
2020-04-09,[],Alex Vanopslagh,23:25:32,"Bankerne har ikke fået nogen redningspakke.   Og min pointe holder jo 100 %: Det er det private erhvervsliv, som sørger for indtjening til den danske statskasse. Både tidligere, nu og i fremtiden. For det socialistiske pengetræ findes ikke.",[],alexvanopslagh
2020-04-21,[],Jakob Ellemann-Jensen,10:32:24,Havde et “Herre Jemini!” været over stregen?,[],jakobellemann
2020-03-24,"['#dkpol', '#sundpol', '#covid19']",Stinus Lindgreen,10:41:24,"Endelig et horoskop, der rammer plet på alle detaljer! ✨ #dkpol #sundpol #COVID19 https://twitter.com/pmahnfeldt/status/1242341623670939648 …",['https://twitter.com/pmahnfeldt/status/1242341623670939648'],stinuslindgreen
2020-02-13,[],Pia Olsen Dyhr,17:04:42,Tak 😊🙏 kh P,[],piaolsen
2020-03-31,"['#dkpol', '#dkgreen']",Signe Munk,18:08:17,Lad os få de grydeklar renoveringer igang i de almene boliger! @SFpolitik er klar til at slippe milliarderne fri til fordel klimaet og jobskabelse 🇩🇰🌎 https://nyheder.tv2.dk/politik/2020-03-31-flertal-vil-renovere-boliger-for-milliardbeloeb-kan-sikre-arbejde-til-35000 … #dkpol #dkgreen,['https://nyheder.tv2.dk/politik/2020-03-31-flertal-vil-renovere-boliger-for-milliardbeloeb-kan-sikre-arbejde-til-35000'],signe_munk
2020-04-28,[],Jakob Ellemann-Jensen,07:41:49,"Er rigtig trist over, at @arnoldbusck lukker. Men endnu mere trist er det, hvis de kunne være reddet af rettidig omhu med udbetaling af den hjælp, vi hurtigt vedtog politisk. Der er mange, der har brug for den hjælp, vi har lovet dem. Få den nu derud! https://www.dr.dk/nyheder/penge/arnold-busck-konkurs-lukker-29-butikker-i-hele-landet …",['https://www.dr.dk/nyheder/penge/arnold-busck-konkurs-lukker-29-butikker-i-hele-landet'],jakobellemann
2020-03-30,['#dkpol'],Pia Olsen Dyhr,08:04:49,"Velfærdsloven skal sikre, at det ikke bliver børnene, de gamle eller de syge, der skal betale for Corona-krisen gennem nedskæringer. Derfor skal velfærdsloven hastebehandles! #dkpol https://jyllands-posten.dk/politik/ECE12044941/sf-vil-have-folketinget-til-at-hastebehandle-velfaerdslov/ …",['https://jyllands-posten.dk/politik/ECE12044941/sf-vil-have-folketinget-til-at-hastebehandle-velfaerdslov/'],piaolsen
2020-06-21,[],Simon Emil Ammitzbøll-Bille,22:26:02,"Se, der viser du allerede, at du ikke har styr på begreberne. Det vil ikke være objektivt landsforræderi, at du subjektivt er imod vedkommendes politik. Hvis du derimod har en racistisk eller facistisk politik, vil det være objektivt korrekt at betegne den som sådan",[],ammitzbollbille
2020-06-11,[],Simon Emil Ammitzbøll-Bille,07:19:41,"Jeg troede, at havde taget det navn, efter I tabte 21 mandater og arbejder på at tabe flere?😉",[],ammitzbollbille
2020-06-03,[],Alex Vanopslagh,20:35:52,Wow. Meningsløst. Hjerteskærende. Det må vi kunne gøre bedre. https://twitter.com/sissel_kvist/status/1268231086112411651 …,['https://twitter.com/sissel_kvist/status/1268231086112411651'],alexvanopslagh
2020-03-02,['#dkpol'],Mogens Jensen,09:05:57,"Nu får de hollandske bomtrawlere det langt sværere. Jeg har siden, jeg blev fiskeriminister kæmpet for at hjælpe de danskere fiskere af med det store problem med de hollandske bomtrawlere.  https://mfvm.dk/nyheder/nyhed/nyhed/hollandske-bomtrawlere-skal-foelge-samme-regler-som-danske-fiskere/ … #dkpol",['https://mfvm.dk/nyheder/nyhed/nyhed/hollandske-bomtrawlere-skal-foelge-samme-regler-som-danske-fiskere/'],mogensjensens
